Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities29 Dec 2021All datapoints provided as of end of last active trading day."2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;111.00;111.00;109.50;110.00;"28/12/21 16:28";CET;59965;6588762.00
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;0.888;0.92;0.861;0.904;"28/12/21 16:25";CET;895671;807038.87
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;141.00;141.00;141.00;141.00;"23/12/21 14:38";CET;30;4230.00
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;9.08;9.23;9.08;9.18;"28/12/21 16:25";CET;78988;725790.65
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;120.15;120.40;117.30;119.15;"28/12/21 16:25";CET;195353;23318900.75
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1.622;1.632;1.62;1.63;"28/12/21 16:12";CET;93704;152622.54
AEGA;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;1.65;1.65;1.582;1.596;"28/12/21 16:19";CET;298097;476005.17
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;189.00;193.20;189.00;191.40;"28/12/21 16:25";CET;13574;2590087.00
AGILYX;NO0010872468;AGLX;"Euronext Growth Oslo";NOK;35.15;36.00;35.05;35.70;"28/12/21 16:25";CET;53467;1902294.15
AIRTHINGS;NO0010895568;AIRX;"Euronext Growth Oslo";NOK;10.50;10.98;10.48;10.94;"28/12/21 16:25";CET;188178;2018561.92
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;5.23;5.37;5.13;5.36;"28/12/21 16:25";CET;120543;636887.56
AKER;NO0010234552;AKER;"Oslo Børs";NOK;815.00;840.00;815.00;832.00;"28/12/21 16:29";CET;40849;33904757.50
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;52.50;53.60;52.10;53.60;"28/12/21 16:25";CET;60609;3206386.40
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;279.80;280.70;275.00;278.70;"28/12/21 16:28";CET;1367627;379922698.60
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;27.37;27.83;27.05;27.07;"28/12/21 16:25";CET;787203;21485988.37
"AKER CLEAN HYDROGE";NO0010936081;ACH;"Euronext Growth Oslo";NOK;5.99;5.99;5.76;5.78;"28/12/21 16:25";CET;1034000;6030657.02
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;32.90;32.90;32.15;32.41;"28/12/21 16:25";CET;207800;6744755.95
"AKER OFFSHORE WIND";NO0010890312;AOW;"Euronext Growth Oslo";NOK;4.857;5.00;4.826;4.937;"28/12/21 16:25";CET;2196008;10783550.88
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;23.38;24.50;23.38;24.01;"28/12/21 16:25";CET;1831176;44079824.25
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;6.45;7.40;6.45;6.92;"28/12/21 16:25";CET;160604;1116649.96
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;87.00;90.80;87.00;90.80;"28/12/21 16:25";CET;23294;2104656.20
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;29.995;29.995;29.895;29.895;"28/12/21 12:08";CET;157;4708.52
"AMERICAN SHIPPING";NO0010272065;AMSC;"Oslo Børs";NOK;32.15;33.50;32.15;32.25;"28/12/21 16:25";CET;50110;1651827.15
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;41.40;41.85;41.00;41.80;"28/12/21 16:10";CET;12693;523224.50
"ANORA GROUP";FI4000292438;ANORA;"Oslo Børs";NOK;106.40;107.60;106.00;106.60;"28/12/21 16:07";CET;6287;671936.60
"AQUA BIO TECHNO";NO0010307135;ABT;"Euronext Expand Oslo";NOK;13.35;13.75;13.35;13.50;"28/12/21 16:25";CET;24987;337242.40
"AQUALISBRAEMAR LOC";NO0010715394;AQUA;"Oslo Børs";NOK;10.10;10.40;10.10;10.25;"28/12/21 15:56";CET;29787;305505.40
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;3.80;3.92;3.78;3.82;"28/12/21 16:25";CET;246520;946541.13
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;17.90;18.00;17.50;17.88;"28/12/21 12:59";CET;5430;97093.60
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;89.97;90.00;89.97;90.00;"28/12/21 16:25";CET;601;54072.00
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;91.55;93.40;91.05;92.20;"28/12/21 16:25";CET;59958;5521005.00
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;440.00;446.00;437.00;444.00;"28/12/21 16:25";CET;8441;3729300.00
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;8.06;8.239;7.961;8.096;"28/12/21 16:19";CET;119152;965065.40
"ARRIBATEC GROUP";NO0003108102;ARR;"Oslo Børs";NOK;1.172;1.22;1.162;1.19;"28/12/21 16:26";CET;1412936;1684219.48
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;40.00;40.90;39.60;40.00;"28/12/21 16:25";CET;38729;1553585.85
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;46.80;46.80;46.80;46.80;"28/12/21 09:33";CET;26;1216.80
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;161.20;161.20;159.80;160.20;"28/12/21 16:25";CET;13938;2234029.60
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;43.65;44.70;43.30;44.30;"28/12/21 16:25";CET;84127;3693528.70
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;101.00;101.20;101.00;101.20;"28/12/21 13:28";CET;20;2022.00
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;244.00;244.00;244.00;244.00;"28/12/21 15:09";CET;30;7320.00
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;106.00;107.80;106.00;107.00;"28/12/21 16:25";CET;99264;10614236.10
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;31.60;32.50;30.655;31.98;"28/12/21 16:25";CET;2178333;69316050.44
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;34.50;34.74;34.50;34.50;"28/12/21 16:25";CET;57980;2004248.76
"AWILCO DRILLING";GB00B5LJSC86;AWDR;"Oslo Børs";NOK;3.13;3.42;3.11;3.36;"28/12/21 16:25";CET;52838;170626.49
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;6.76;6.80;6.40;6.50;"28/12/21 16:27";CET;1016298;6650354.48
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;7.76;7.875;7.73;7.76;"28/12/21 16:25";CET;599357;4675521.64
"AYFIE GROUP";NO0010793243;AYFIE;"Euronext Growth Oslo";NOK;1.305;1.385;1.305;1.35;"28/12/21 16:09";CET;69119;91149.12
B2HOLDING;NO0010633951;B2H;"Oslo Børs";NOK;10.30;10.36;10.17;10.35;"28/12/21 16:25";CET;252086;2596842.66
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;587.40;589.20;584.80;586.80;"28/12/21 16:25";CET;29594;17368272.00
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;54.00;54.00;54.00;54.00;"28/12/21 12:36";CET;400;21600.00
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;14.45;14.45;14.45;14.45;"13/12/21 09:00";CET;6;86.70
BELSHIPS;NO0003094104;BELCO;"Oslo Børs";NOK;14.30;14.40;13.70;13.90;"28/12/21 16:25";CET;333708;4688724.40
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;81.05;83.89;67.00;68.03;"28/12/21 16:25";CET;1263386;90888569.59
BERGENBIO;NO0010650013;BGBIO;"Oslo Børs";NOK;20.24;20.62;20.18;20.22;"28/12/21 16:25";CET;142352;2896087.38
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;75.00;76.60;74.00;75.00;"28/12/21 16:25";CET;122698;9259756.00
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;13.80;14.00;13.102;14.00;"28/12/21 14:05";CET;13449;187008.27
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;2.00;2.00;1.70;1.99;"28/12/21 11:49";CET;11666;22747.20
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;353.50;362.50;348.00;348.50;"28/12/21 16:25";CET;16704;5895561.50
BORGESTAD;NO0003111700;BOR;"Oslo Børs";NOK;9.58;9.58;9.02;9.02;"28/12/21 15:12";CET;28293;258438.10
"BORR DRILLING";BMG1466R1732;BORR;"Oslo Børs";NOK;20.60;21.695;18.90;19.00;"28/12/21 16:29";CET;2422623;49029056.86
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;218.00;223.00;218.00;220.00;"28/12/21 16:25";CET;34442;7597329.50
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;73.50;74.50;72.50;74.00;"28/12/21 16:25";CET;45512;3360453.60
BRABANK;NO0010167331;BRA;"Euronext Growth Oslo";NOK;9.80;9.92;9.70;9.76;"28/12/21 16:19";CET;41466;406482.24
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;20.35;20.85;20.35;20.60;"28/12/21 16:25";CET;466215;9613304.60
"BW Epic Kosan";SGXZ80461361;BWEK;"Euronext Growth Oslo";NOK;19.90;20.00;19.90;20.00;"28/12/21 09:27";CET;5121;102358.00
"BW IDEOL";NO0010947385;BWIDL;"Euronext Growth Oslo";NOK;25.105;25.105;24.995;24.995;"28/12/21 16:28";CET;3937;98570.65
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;50.40;51.35;49.82;51.00;"28/12/21 16:25";CET;257449;13077509.66
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;26.60;26.84;26.40;26.60;"28/12/21 16:25";CET;330979;8798048.70
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;25.40;26.00;25.20;25.80;"28/12/21 16:11";CET;16053;408965.20
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;35.60;37.10;35.515;37.07;"28/12/21 16:25";CET;451414;16332397.73
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;8.80;9.00;8.80;9.00;"28/12/21 16:25";CET;15699;139463.49
CARASENT;NO0010123060;CARA;"Oslo Børs";NOK;39.60;39.60;38.30;38.30;"28/12/21 16:28";CET;39005;1515728.45
"CARBON TRANSITION";NO0010778095;CARBN;"Euronext Expand Oslo";NOK;1.31;1.37;1.31;1.32;"28/12/21 16:25";CET;427290;570793.03
"CIRCA GROUP";NO0010917594;CIRCA;"Euronext Growth Oslo";NOK;8.60;9.479;8.60;9.02;"28/12/21 16:25";CET;435338;3956845.59
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;3.6505;3.6505;3.65;3.65;"28/12/21 16:12";CET;16007;58425.69
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;16.00;16.02;15.70;16.00;"28/12/21 16:25";CET;202371;3209617.70
"CO2 CAPSOL";NO0010923121;CAPSL;"Euronext Growth Oslo";NOK;22.70;26.00;21.025;24.20;"28/12/21 16:18";CET;51667;1229905.49
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;16.648;16.80;16.25;16.80;"28/12/21 16:25";CET;76025;1257019.53
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;180.00;182.40;178.70;179.30;"28/12/21 16:25";CET;44988;8118643.70
"CSAM HEALTH GROUP";NO0010894512;CSAM;"Euronext Growth Oslo";NOK;83.20;84.00;80.10;83.90;"28/12/21 15:23";CET;1320;109395.40
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;47.01;47.49;45.635;47.20;"28/12/21 16:25";CET;14520;674472.16
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;10.354;11.482;10.35;10.50;"28/12/21 16:25";CET;230289;2447529.66
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;38.50;39.18;34.88;35.00;"28/12/21 16:29";CET;178372;6430876.14
DLT;NO0003055808;DLTX;"Oslo Børs";NOK;16.40;17.50;16.40;17.24;"28/12/21 16:28";CET;786996;13413368.08
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;198.60;201.30;197.75;201.30;"28/12/21 16:28";CET;449048;90074345.10
DNO;NO0003921009;DNO;"Oslo Børs";NOK;10.15;10.655;10.15;10.585;"28/12/21 16:25";CET;4343026;45390754.81
DOF;NO0010070063;DOF;"Oslo Børs";NOK;0.60;0.62;0.585;0.62;"28/12/21 16:25";CET;575954;348471.91
"EAM SOLAR";NO0010607781;EAM;"Euronext Expand Oslo";NOK;10.75;10.75;10.25;10.45;"28/12/21 16:13";CET;4189;43838.30
"ECIT AS B-AKSJER";NO0010939804;ECIT;"Euronext Growth Oslo";NOK;7.80;7.80;7.301;7.55;"28/12/21 16:16";CET;112498;843017.92
"ECOONLINE HOLDING";NO0010936891;ECO;"Euronext Growth Oslo";NOK;20.40;20.40;20.40;20.40;"28/12/21 16:25";CET;72;1468.80
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;32.48;34.49;32.48;33.81;"28/12/21 16:25";CET;160120;5345289.27
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;3.91;4.19;3.91;4.05;"28/12/21 13:11";CET;63660;257742.58
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;1.228;1.27;1.198;1.24;"28/12/21 14:35";CET;318665;391244.41
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;79.99;83.00;79.99;81.50;"28/12/21 16:25";CET;30227;2457897.40
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;29.42;29.68;29.36;29.60;"28/12/21 16:25";CET;434811;12856099.10
